number,season,episode,airdate,title,link
36,2,16,20 Feb 94,"Shadowplay","https://www.tvmaze.com/episodes/44842/star-trek-deep-space-nine-2x16-shadowplay"
37,2,17,27 Feb 94,"Playing God","https://www.tvmaze.com/episodes/44843/star-trek-deep-space-nine-2x17-playing-god"
38,2,18,20 Mar 94,"Profit and Loss","https://www.tvmaze.com/episodes/44844/star-trek-deep-space-nine-2x18-profit-and-loss"
39,2,19,27 Mar 94,"Blood Oath","https://www.tvmaze.com/episodes/44845/star-trek-deep-space-nine-2x19-blood-oath"
40,2,20,24 Apr 94,"The Maquis, Part I","https://www.tvmaze.com/episodes/44846/star-trek-deep-space-nine-2x20-the-maquis-part-i"
41,2,21,01 May 94,"The Maquis, Part II","https://www.tvmaze.com/episodes/44847/star-trek-deep-space-nine-2x21-the-maquis-part-ii"
42,2,22,08 May 94,"The Wire","https://www.tvmaze.com/episodes/44848/star-trek-deep-space-nine-2x22-the-wire"
43,2,23,15 May 94,"Crossover","https://www.tvmaze.com/episodes/44849/star-trek-deep-space-nine-2x23-crossover"
44,2,24,22 May 94,"The Collaborator","https://www.tvmaze.com/episodes/44850/star-trek-deep-space-nine-2x24-the-collaborator"
45,2,25,05 Jun 94,"Tribunal","https://www.tvmaze.com/episodes/44851/star-trek-deep-space-nine-2x25-tribunal"
46,2,26,12 Jun 94,"The Jem'Hadar","https://www.tvmaze.com/episodes/44852/star-trek-deep-space-nine-2x26-the-jemhadar"
47,3,1,26 Sep 94,"The Search, Part I","https://www.tvmaze.com/episodes/44853/star-trek-deep-space-nine-3x01-the-search-part-i"
48,3,2,03 Oct 94,"The Search, Part II","https://www.tvmaze.com/episodes/44854/star-trek-deep-space-nine-3x02-the-search-part-ii"
49,3,3,16 Oct 94,"The House of Quark","https://www.tvmaze.com/episodes/44855/star-trek-deep-space-nine-3x03-the-house-of-quark"
50,3,4,23 Oct 94,"Equilibrium","https://www.tvmaze.com/episodes/44856/star-trek-deep-space-nine-3x04-equilibrium"
51,3,5,30 Oct 94,"Second Skin","https://www.tvmaze.com/episodes/44857/star-trek-deep-space-nine-3x05-second-skin"
52,3,6,06 Nov 94,"The Abandoned","https://www.tvmaze.com/episodes/44858/star-trek-deep-space-nine-3x06-the-abandoned"
53,3,7,13 Nov 94,"Civil Defense","https://www.tvmaze.com/episodes/44859/star-trek-deep-space-nine-3x07-civil-defense"
54,3,8,20 Nov 94,"Meridian","https://www.tvmaze.com/episodes/44860/star-trek-deep-space-nine-3x08-meridian"
55,3,9,27 Nov 94,"Defiant","https://www.tvmaze.com/episodes/44861/star-trek-deep-space-nine-3x09-defiant"
56,3,10,04 Dec 94,"Fascination","https://www.tvmaze.com/episodes/44862/star-trek-deep-space-nine-3x10-fascination"
57,3,11,08 Jan 95,"Past Tense, Part I","https://www.tvmaze.com/episodes/44863/star-trek-deep-space-nine-3x11-past-tense-part-i"
58,3,12,15 Jan 95,"Past Tense, Part II","https://www.tvmaze.com/episodes/44864/star-trek-deep-space-nine-3x12-past-tense-part-ii"
59,3,13,05 Feb 95,"Life Support","https://www.tvmaze.com/episodes/44865/star-trek-deep-space-nine-3x13-life-support"
60,3,14,12 Feb 95,"Heart of Stone","https://www.tvmaze.com/episodes/44866/star-trek-deep-space-nine-3x14-heart-of-stone"
61,3,15,19 Feb 95,"Destiny","https://www.tvmaze.com/episodes/44867/star-trek-deep-space-nine-3x15-destiny"
62,3,16,26 Feb 95,"Prophet Motive","https://www.tvmaze.com/episodes/44868/star-trek-deep-space-nine-3x16-prophet-motive"
63,3,17,05 Mar 95,"Visionary","https://www.tvmaze.com/episodes/44869/star-trek-deep-space-nine-3x17-visionary"
64,3,18,16 Apr 95,"Distant Voices","https://www.tvmaze.com/episodes/44870/star-trek-deep-space-nine-3x18-distant-voices"
65,3,19,23 Apr 95,"Through the Looking Glass","https://www.tvmaze.com/episodes/44871/star-trek-deep-space-nine-3x19-through-the-looking-glass"
66,3,20,07 May 95,"Improbable Cause","https://www.tvmaze.com/episodes/44872/star-trek-deep-space-nine-3x20-improbable-cause"
67,3,21,07 May 95,"The Die is Cast","https://www.tvmaze.com/episodes/44873/star-trek-deep-space-nine-3x21-the-die-is-cast"
68,3,22,14 May 95,"Explorers","https://www.tvmaze.com/episodes/44874/star-trek-deep-space-nine-3x22-explorers"
69,3,23,21 May 95,"Family Business","https://www.tvmaze.com/episodes/44875/star-trek-deep-space-nine-3x23-family-business"
70,3,24,28 May 95,"Shakaar","https://www.tvmaze.com/episodes/44876/star-trek-deep-space-nine-3x24-shakaar"
71,3,25,18 Jun 95,"Facets","https://www.tvmaze.com/episodes/44877/star-trek-deep-space-nine-3x25-facets"
72,3,26,25 Jun 95,"The Adversary","https://www.tvmaze.com/episodes/44878/star-trek-deep-space-nine-3x26-the-adversary"
73,4,1,02 Oct 95,"The Way of the Warrior, Part I","https://www.tvmaze.com/episodes/44879/star-trek-deep-space-nine-4x01-the-way-of-the-warrior-part-i"
74,4,2,02 Oct 95,"The Way of the Warrior, Part II","https://www.tvmaze.com/episodes/44880/star-trek-deep-space-nine-4x02-the-way-of-the-warrior-part-ii"
75,4,3,09 Oct 95,"The Visitor","https://www.tvmaze.com/episodes/44881/star-trek-deep-space-nine-4x03-the-visitor"
76,4,4,16 Oct 95,"Hippocratic Oath","https://www.tvmaze.com/episodes/44882/star-trek-deep-space-nine-4x04-hippocratic-oath"
77,4,5,23 Oct 95,"Indiscretion","https://www.tvmaze.com/episodes/44883/star-trek-deep-space-nine-4x05-indiscretion"
78,4,6,30 Oct 95,"Rejoined","https://www.tvmaze.com/episodes/44884/star-trek-deep-space-nine-4x06-rejoined"
79,4,7,06 Nov 95,"Starship Down","https://www.tvmaze.com/episodes/44885/star-trek-deep-space-nine-4x07-starship-down"
80,4,8,13 Nov 95,"Little Green Men","https://www.tvmaze.com/episodes/44886/star-trek-deep-space-nine-4x08-little-green-men"
81,4,9,20 Nov 95,"The Sword of Kahless","https://www.tvmaze.com/episodes/44887/star-trek-deep-space-nine-4x09-the-sword-of-kahless"
82,4,10,27 Nov 95,"Our Man Bashir","https://www.tvmaze.com/episodes/44888/star-trek-deep-space-nine-4x10-our-man-bashir"
83,4,11,01 Jan 96,"Homefront","https://www.tvmaze.com/episodes/44889/star-trek-deep-space-nine-4x11-homefront"
84,4,12,08 Jan 96,"Paradise Lost","https://www.tvmaze.com/episodes/44890/star-trek-deep-space-nine-4x12-paradise-lost"
85,4,13,29 Jan 96,"Crossfire","https://www.tvmaze.com/episodes/44891/star-trek-deep-space-nine-4x13-crossfire"
86,4,14,05 Feb 96,"Return to Grace","https://www.tvmaze.com/episodes/44892/star-trek-deep-space-nine-4x14-return-to-grace"
87,4,15,12 Feb 96,"Sons of Mogh","https://www.tvmaze.com/episodes/44893/star-trek-deep-space-nine-4x15-sons-of-mogh"
88,4,16,19 Feb 96,"Bar Association","https://www.tvmaze.com/episodes/44894/star-trek-deep-space-nine-4x16-bar-association"
89,4,17,26 Feb 96,"Accession","https://www.tvmaze.com/episodes/44895/star-trek-deep-space-nine-4x17-accession"
90,4,18,08 Apr 96,"Rules of Engagement","https://www.tvmaze.com/episodes/44896/star-trek-deep-space-nine-4x18-rules-of-engagement"
91,4,19,15 Apr 96,"Hard Time","https://www.tvmaze.com/episodes/44897/star-trek-deep-space-nine-4x19-hard-time"
