number,season,episode,airdate,title,link
122,5,22,04 May 92,"Imaginary Friend","https://www.tvmaze.com/episodes/44577/star-trek-the-next-generation-5x22-imaginary-friend"
123,5,23,11 May 92,"I, Borg","https://www.tvmaze.com/episodes/44578/star-trek-the-next-generation-5x23-i-borg"
124,5,24,18 May 92,"The Next Phase","https://www.tvmaze.com/episodes/44579/star-trek-the-next-generation-5x24-the-next-phase"
125,5,25,01 Jun 92,"The Inner Light","https://www.tvmaze.com/episodes/44580/star-trek-the-next-generation-5x25-the-inner-light"
126,5,26,15 Jun 92,"Time's Arrow","https://www.tvmaze.com/episodes/44581/star-trek-the-next-generation-5x26-times-arrow"
127,6,1,21 Sep 92,"Time's Arrow, Part II","https://www.tvmaze.com/episodes/44582/star-trek-the-next-generation-6x01-times-arrow-part-ii"
128,6,2,28 Sep 92,"Realm of Fear","https://www.tvmaze.com/episodes/44583/star-trek-the-next-generation-6x02-realm-of-fear"
129,6,3,05 Oct 92,"Man of the People","https://www.tvmaze.com/episodes/44584/star-trek-the-next-generation-6x03-man-of-the-people"
130,6,4,12 Oct 92,"Relics","https://www.tvmaze.com/episodes/44585/star-trek-the-next-generation-6x04-relics"
131,6,5,19 Oct 92,"Schisms","https://www.tvmaze.com/episodes/44586/star-trek-the-next-generation-6x05-schisms"
132,6,6,26 Oct 92,"True Q","https://www.tvmaze.com/episodes/44587/star-trek-the-next-generation-6x06-true-q"
133,6,7,02 Nov 92,"Rascals","https://www.tvmaze.com/episodes/44588/star-trek-the-next-generation-6x07-rascals"
134,6,8,09 Nov 92,"A Fistful of Datas","https://www.tvmaze.com/episodes/44589/star-trek-the-next-generation-6x08-a-fistful-of-datas"
135,6,9,16 Nov 92,"The Quality of Life","https://www.tvmaze.com/episodes/44590/star-trek-the-next-generation-6x09-the-quality-of-life"
136,6,10,14 Dec 92,"Chain of Command, Part I","https://www.tvmaze.com/episodes/44591/star-trek-the-next-generation-6x10-chain-of-command-part-i"
137,6,11,21 Dec 92,"Chain of Command, Part II","https://www.tvmaze.com/episodes/44592/star-trek-the-next-generation-6x11-chain-of-command-part-ii"
138,6,12,25 Jan 93,"Ship in a Bottle","https://www.tvmaze.com/episodes/44593/star-trek-the-next-generation-6x12-ship-in-a-bottle"
139,6,13,01 Feb 93,"Aquiel","https://www.tvmaze.com/episodes/44594/star-trek-the-next-generation-6x13-aquiel"
140,6,14,08 Feb 93,"Face of the Enemy","https://www.tvmaze.com/episodes/44595/star-trek-the-next-generation-6x14-face-of-the-enemy"
141,6,15,15 Feb 93,"Tapestry","https://www.tvmaze.com/episodes/44596/star-trek-the-next-generation-6x15-tapestry"
142,6,16,22 Feb 93,"Birthright, Part I","https://www.tvmaze.com/episodes/44597/star-trek-the-next-generation-6x16-birthright-part-i"
143,6,17,01 Mar 93,"Birthright, Part II","https://www.tvmaze.com/episodes/44598/star-trek-the-next-generation-6x17-birthright-part-ii"
144,6,18,29 Mar 93,"Starship Mine","https://www.tvmaze.com/episodes/44599/star-trek-the-next-generation-6x18-starship-mine"
145,6,19,05 Apr 93,"Lessons","https://www.tvmaze.com/episodes/44600/star-trek-the-next-generation-6x19-lessons"
146,6,20,26 Apr 93,"The Chase","https://www.tvmaze.com/episodes/44601/star-trek-the-next-generation-6x20-the-chase"
147,6,21,03 May 93,"Frame of Mind","https://www.tvmaze.com/episodes/44602/star-trek-the-next-generation-6x21-frame-of-mind"
148,6,22,10 May 93,"Suspicions","https://www.tvmaze.com/episodes/44603/star-trek-the-next-generation-6x22-suspicions"
149,6,23,17 May 93,"Rightful Heir","https://www.tvmaze.com/episodes/44604/star-trek-the-next-generation-6x23-rightful-heir"
150,6,24,24 May 93,"Second Chances","https://www.tvmaze.com/episodes/44605/star-trek-the-next-generation-6x24-second-chances"
151,6,25,14 Jun 93,"Timescape","https://www.tvmaze.com/episodes/44606/star-trek-the-next-generation-6x25-timescape"
